h_position_x,h_position_y,h_position_z,h_orientation_x,h_orientation_y,h_orientation_z,h_orientation_w,e_position_x,e_position_y,e_position_z,e_orientation_x,e_orientation_y,e_orientation_z,e_orientation_w,stamp,gripper_state
0.784008036138137,0.0183728732052264,-0.0779472099199424,0.691783,-0.049767,0.000391,-0.720388,0.463569158339632,0.117401386582791,-0.118954551043563,0.691783,-0.049767,0.000391,-0.720388,1,0.145
0.784018866321105,0.0183834491963155,-0.078043646682723,0.691779,-0.049713,0.000272,-0.720396,0.463581987633751,0.117371421214355,-0.118999901009468,0.691779,-0.049713,0.000272,-0.720396,2,0.145
0.784030850897698,0.0182783214529349,-0.0780891108662924,0.691815,-0.049213,-0.00025,-0.720396,0.463577652398962,0.117157278276043,-0.119146562557864,0.691815,-0.049213,-0.00025,-0.720396,3,0.145
0.784022846646295,0.0188707934879322,-0.078078375376593,0.691611,-0.049953,0.00051,-0.720541,0.463507830655287,0.117677327439979,-0.118886164765767,0.691611,-0.049953,0.00051,-0.720541,4,0.145
0.784019228089127,0.0187004360799463,-0.0781963284049864,0.691664,-0.049285,-0.000264,-0.720535,0.463501035289671,0.117402838084123,-0.119145990527422,0.691664,-0.049285,-0.000264,-0.720535,5,0.145
0.78404409888773,0.0188760698340437,-0.0782193507375051,0.6916,-0.049551,2.9e-05,-0.720579,0.46349568417861,0.117545127037365,-0.119070065502153,0.6916,-0.049551,2.9e-05,-0.720579,6,0.145
0.784056609572646,0.0188379119962633,-0.0782904478194918,0.691602,-0.049102,-0.000483,-0.720608,0.463462767917434,0.11743009866974,-0.119272861410805,0.691602,-0.049102,-0.000483,-0.720608,7,0.145
0.784077093616355,0.0188232889482506,-0.0783375296437603,0.691622,-0.049213,-0.000409,-0.720581,0.4634659248789,0.117444907906663,-0.119266661798241,0.691622,-0.049213,-0.000409,-0.720581,8,0.145
0.784109311254435,0.0189339826650076,-0.0783405311377989,0.691583,-0.049469,-0.000109,-0.720601,0.463476443947982,0.117570247199163,-0.119202122451393,0.691583,-0.049469,-0.000109,-0.720601,9,0.145
0.78411512835852,0.0189482124762558,-0.0784474037289013,0.691591,-0.049527,-0.000159,-0.720589,0.46346995922358,0.117585254203379,-0.119281609726422,0.691591,-0.049527,-0.000159,-0.720589,10,0.145
0.784144337843736,0.019082372126303,-0.0784130294600617,0.691554,-0.050028,0.000399,-0.72059,0.463487331294434,0.117790940909129,-0.119128890520134,0.691554,-0.050028,0.000399,-0.72059,11,0.145
0.784156200160665,0.0188871241871951,-0.078488109216967,0.691632,-0.04945,-0.00025,-0.720555,0.463484154772478,0.117551310220523,-0.119372174025375,0.691632,-0.04945,-0.00025,-0.720555,12,0.145
0.784150090026615,0.0190193023064988,-0.0785052611200147,0.691597,-0.049634,-9.7e-05,-0.720576,0.463445857507648,0.117688729984018,-0.119366650117449,0.691597,-0.049634,-9.7e-05,-0.720576,13,0.145
0.784130339884819,0.0189617892163845,-0.0785641621323123,0.691619,-0.04937,-0.00043,-0.720573,0.463431421219325,0.117616486410058,-0.119516502787962,0.691619,-0.04937,-0.00043,-0.720573,14,0.145
0.784140166873549,0.0191395992994483,-0.0786086553974852,0.691558,-0.049563,-0.000256,-0.720619,0.463415527368085,0.117766738778309,-0.119508541413878,0.691558,-0.049563,-0.000256,-0.720619,15,0.145
0.784149464676142,0.0192057297331278,-0.0785216915125927,0.691534,-0.049396,-0.000349,-0.720653,0.46344485546446,0.117801217779555,-0.119530585030612,0.691534,-0.049396,-0.000349,-0.720653,16,0.145
0.7841552213238,0.0191640445231996,-0.0787486573689748,0.691545,-0.049194,-0.000812,-0.720656,0.463424470896342,0.117725269934643,-0.119768326491244,0.691545,-0.049194,-0.000812,-0.720656,17,0.145
0.784143998076599,0.0192145220064364,-0.0787365247303332,0.691518,-0.04903,-0.000966,-0.720693,0.46341892105138,0.117742288538793,-0.119833780887781,0.691518,-0.04903,-0.000966,-0.720693,18,0.145
0.784153231487401,0.0192714083065486,-0.078750178245187,0.691492,-0.049021,-0.000985,-0.720719,0.463419552877446,0.117830085727357,-0.119851658288337,0.691492,-0.049021,-0.000985,-0.720719,19,0.145
0.784176843824848,0.0193068907827443,-0.0786577605638243,0.691452,-0.048729,-0.001206,-0.720776,0.463412114746988,0.117849395226459,-0.119902037418714,0.691452,-0.048729,-0.001206,-0.720776,20,0.145
0.784183945558055,0.0194236018181479,-0.0786663026413024,0.691397,-0.048835,-0.001136,-0.720822,0.463398560583319,0.117957133598067,-0.119908450656746,0.691397,-0.048835,-0.001136,-0.720822,21,0.145
0.784188617947795,0.0194045103158813,-0.0786782223210094,0.691378,-0.048388,-0.001595,-0.720869,0.463372250691141,0.117918852230457,-0.12001733210476,0.691378,-0.048388,-0.001595,-0.720869,22,0.145
0.784187856466545,0.0194292454860203,-0.0786522932921087,0.691344,-0.048178,-0.001824,-0.720916,0.463322643646721,0.117966567261578,-0.120068022882373,0.691344,-0.048178,-0.001824,-0.720916,23,0.145
0.784206447934698,0.019563581047271,-0.0785829316250106,0.691279,-0.048386,-0.001607,-0.720964,0.463318046790546,0.118151697426476,-0.119963395625156,0.691279,-0.048386,-0.001607,-0.720964,24,0.145
0.784180564341437,0.0197456589972475,-0.078601429417895,0.691198,-0.048474,-0.001587,-0.721036,0.463254523980549,0.118332336869039,-0.119948259608049,0.691198,-0.048474,-0.001587,-0.721036,25,0.145
