position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,stamp,gripper_state
-0.503642,-0.399181,1.221857,-0.687554,0.054034,-0.128840,0.712565,325603888.000000,0.145000
-0.503637,-0.399170,1.221678,-0.687678,0.054121,-0.128735,0.712458,326770117.000000,0.145000
-0.503608,-0.399102,1.220618,-0.688412,0.054642,-0.128111,0.711822,333694729.000000,0.145000
-0.503573,-0.399122,1.219609,-0.689623,0.054540,-0.128282,0.710626,342148467.000000,0.145000
-0.503561,-0.399117,1.219435,-0.689812,0.054553,-0.128264,0.710445,343386223.000000,0.145000
-0.503494,-0.399090,1.218484,-0.690844,0.054623,-0.128164,0.709454,350159649.000000,0.145000
-0.503444,-0.399019,1.217379,-0.692101,0.054677,-0.128088,0.708237,359045407.000000,0.145000
-0.503436,-0.399006,1.217244,-0.692256,0.054668,-0.128073,0.708089,360029985.000000,0.145000
-0.503383,-0.398912,1.216309,-0.693326,0.054606,-0.127976,0.707064,366850605.000000,0.145000
-0.503316,-0.398812,1.215172,-0.694519,0.054752,-0.127786,0.705915,375776347.000000,0.145000
-0.503309,-0.398796,1.215049,-0.694669,0.054704,-0.127795,0.705770,376728107.000000,0.145000
-0.503255,-0.398676,1.214130,-0.695784,0.054351,-0.127857,0.704687,383841072.000000,0.145000
-0.503245,-0.398658,1.213968,-0.695957,0.054334,-0.127821,0.704523,385012914.000000,0.145000
-0.503179,-0.398546,1.212959,-0.697036,0.054228,-0.127597,0.703505,392289271.000000,0.145000
-0.503166,-0.398533,1.212782,-0.697210,0.054275,-0.127525,0.703342,393338253.000000,0.145000
-0.503080,-0.398450,1.211650,-0.698328,0.054580,-0.127064,0.702292,400063602.000000,0.145000
-0.502969,-0.398302,1.210530,-0.699701,0.054072,-0.126939,0.700986,408786777.000000,0.145000
-0.502955,-0.398274,1.210328,-0.699894,0.054085,-0.126849,0.700808,410029937.000000,0.145000
-0.502886,-0.398129,1.209277,-0.700895,0.054149,-0.126384,0.699886,416489672.000000,0.145000
-0.502859,-0.398065,1.208976,-0.701176,0.054114,-0.126206,0.699640,418392469.000000,0.145000
-0.502765,-0.397844,1.207927,-0.702153,0.053995,-0.125586,0.698780,425029711.000000,0.145000
-0.502608,-0.397634,1.206606,-0.703294,0.054158,-0.124739,0.697771,433805100.000000,0.145000
-0.502591,-0.397587,1.206434,-0.703470,0.054089,-0.124662,0.697612,435051252.000000,0.145000
-0.502489,-0.397317,1.205432,-0.704500,0.053686,-0.124214,0.696684,442339809.000000,0.145000
-0.502477,-0.397284,1.205269,-0.704634,0.053674,-0.124124,0.696565,443352272.000000,0.145000
-0.502398,-0.397067,1.204178,-0.705530,0.053600,-0.123522,0.695771,450136652.000000,0.145000
